admin2Name_en;admin2RefName;SenDist_en;admin1Name_en;admin0Name_en;validOn
Bagudo;Bagudo;Kebbi North;Kebbi;Nigeria;17/04/2019
Bagwai;Bagwai;Kano North;Kano;Nigeria;17/04/2019
Bakassi;Bakassi;Cross River South;Cross River;Nigeria;17/04/2019
Bakori;Bakori;Katsina South;Katsina;Nigeria;17/04/2019
Bakura;Bakura;Zamfara West;Zamfara;Nigeria;17/04/2019
Balanga;Balanga;Gombe South;Gombe;Nigeria;17/04/2019
Bali;Bali;Taraba Central;Taraba;Nigeria;17/04/2019
Bama;Bama;Borno Central;Borno;Nigeria;17/04/2019
Barikin Ladi;Barikin Ladi;Plateau North;Plateau;Nigeria;17/04/2019
Baruten;Baruten;Kwara North;Kwara;Nigeria;17/04/2019
Bassa;Bassa;Kogi East;Kogi;Nigeria;17/04/2019
Bassa;Bassa;Plateau North;Plateau;Nigeria;17/04/2019
Batagarawa;Batagarawa;Katsina Central;Katsina;Nigeria;17/04/2019
Batsari;Batsari;Katsina Central;Katsina;Nigeria;17/04/2019
Bauchi;Bauchi;Bauchi South;Bauchi;Nigeria;17/04/2019
Baure;Baure;Katsina North;Katsina;Nigeria;17/04/2019
Bayo;Bayo;Borno South;Borno;Nigeria;17/04/2019
Bebeji;Bebeji;Kano South;Kano;Nigeria;17/04/2019
Bekwara;Bekwara;Cross River North;Cross River;Nigeria;17/04/2019
Bende;Bende;Abia North;Abia;Nigeria;17/04/2019
Biase;Biase;Cross River North;Cross River;Nigeria;17/04/2019
Bichi;Bichi;Kano North;Kano;Nigeria;17/04/2019
Bida;Bida;Niger South;Niger;Nigeria;17/04/2019
Billiri;Billiri;Gombe South;Gombe;Nigeria;17/04/2019
Bindawa;Bindawa;Katsina North;Katsina;Nigeria;17/04/2019
Binji;Binji;Sokoto North;Sokoto;Nigeria;17/04/2019
Biriniwa;Biriniwa;Jigawa North-East;Jigawa;Nigeria;17/04/2019
Birni Kudu;Birni Kudu;Jigawa South-West;Jigawa;Nigeria;17/04/2019
Birnin-Gwari;Birnin-Gwari;Kaduna Central;Kaduna;Nigeria;17/04/2019
Birnin Kebbi;Birnin Kebbi;Kebbi Central;Kebbi;Nigeria;17/04/2019
Birnin Magaji;Birnin Magaji;Zamfara North;Zamfara;Nigeria;17/04/2019
Biu;Biu;Borno South;Borno;Nigeria;17/04/2019
Bodinga;Bodinga;Sokoto South;Sokoto;Nigeria;17/04/2019
Bogoro;Bogoro;Bauchi South;Bauchi;Nigeria;17/04/2019
Boki;Boki;Cross River Central;Cross River;Nigeria;17/04/2019
Bokkos;Bokkos;Plateau Central;Plateau;Nigeria;17/04/2019
Boluwaduro;Boluwaduro;Osun Central;Osun;Nigeria;17/04/2019
Bomadi;Bomadi;Delta South;Delta;Nigeria;17/04/2019
Bonny;Bonny;Rivers West;Rivers;Nigeria;17/04/2019
Borgu;Borgu;Niger North;Niger;Nigeria;17/04/2019
Boripe;Boripe;Osun Central;Osun;Nigeria;17/04/2019
Bosso;Bosso;Niger East;Niger;Nigeria;17/04/2019
Brass;Brass;Bayelsa East;Bayelsa;Nigeria;17/04/2019
Buji;Buji;Jigawa South-West;Jigawa;Nigeria;17/04/2019
Bukkuyum;Bukkuyum;Zamfara West;Zamfara;Nigeria;17/04/2019
Bungudu;Bungudu;Zamfara Central;Zamfara;Nigeria;17/04/2019
Bunkure;Bunkure;Kano South;Kano;Nigeria;17/04/2019
Bunza;Bunza;Kebbi Central;Kebbi;Nigeria;17/04/2019
Bursari;Bursari;Yobe East;Yobe;Nigeria;17/04/2019
Buruku;Buruku;Benue North West;Benue;Nigeria;17/04/2019
Burutu;Burutu;Delta South;Delta;Nigeria;17/04/2019
Bwari;Bwari;Federal Capital Territory;Federal Capital Territory;Nigeria;17/04/2019
Calabar-Municipal;Calabar-Municipal;Cross River South;Cross River;Nigeria;17/04/2019
Calabar South;Calabar South;Cross River South;Cross River;Nigeria;17/04/2019
Chanchaga;Chanchaga;Niger East;Niger;Nigeria;17/04/2019
Charanchi;Charanchi;Katsina Central;Katsina;Nigeria;17/04/2019
Chibok;Chibok;Borno South;Borno;Nigeria;17/04/2019
Chikun;Chikun;Kaduna Central;Kaduna;Nigeria;17/04/2019
