admin2Name_en;admin2RefName;SenDist_en;admin1Name_en;admin0Name_en;validOn
Isoko North;Isoko North;Delta South;Delta;Nigeria;17/04/2019
Isoko South;Isoko South;Delta South;Delta;Nigeria;17/04/2019
Isu;Isu;Imo West;Imo;Nigeria;17/04/2019
Itas/Gadau;Itas/Gadau;Bauchi North;Bauchi;Nigeria;17/04/2019
Itesiwaju;Itesiwaju;Oyo North;Oyo;Nigeria;17/04/2019
Itu;Itu;Akwa Ibom North East;Akwa Ibom;Nigeria;17/04/2019
Ivo;Ivo;Ebonyi South;Ebonyi;Nigeria;17/04/2019
Iwajowa;Iwajowa;Oyo North;Oyo;Nigeria;17/04/2019
Iwo;Iwo;Osun West;Osun;Nigeria;17/04/2019
Izzi;Izzi;Ebonyi North;Ebonyi;Nigeria;17/04/2019
Jaba;Jaba;Kaduna South;Kaduna;Nigeria;17/04/2019
Jada;Jada;Adamawa South;Adamawa;Nigeria;17/04/2019
Jahun;Jahun;Jigawa South-West;Jigawa;Nigeria;17/04/2019
Jakusko;Jakusko;Yobe North;Yobe;Nigeria;17/04/2019
Jalingo;Jalingo;Taraba North;Taraba;Nigeria;17/04/2019
Jama'are;Jamaare;Bauchi North;Bauchi;Nigeria;17/04/2019
Jega;Jega;Kebbi North;Kebbi;Nigeria;17/04/2019
Jema'a;Jemaa;Kaduna South;Kaduna;Nigeria;17/04/2019
Jere;Jere;Borno Central;Borno;Nigeria;17/04/2019
Jibia;Jibia;Katsina Central;Katsina;Nigeria;17/04/2019
Jos East;Jos East;Plateau North;Plateau;Nigeria;17/04/2019
Jos North;Jos North;Plateau North;Plateau;Nigeria;17/04/2019
Jos South;Jos South;Plateau North;Plateau;Nigeria;17/04/2019
Kabba/Bunu;Kabba/Bunu;Kogi West;Kogi;Nigeria;17/04/2019
Kabo;Kabo;Kano North;Kano;Nigeria;17/04/2019
Kachia;Kachia;Kaduna South;Kaduna;Nigeria;17/04/2019
Kaduna North;Kaduna North;Kaduna Central;Kaduna;Nigeria;17/04/2019
Kaduna South;Kaduna South;Kaduna Central;Kaduna;Nigeria;17/04/2019
Kafin Hausa;Kafin Hausa;Jigawa North-East;Jigawa;Nigeria;17/04/2019
Kafur;Kafur;Katsina South;Katsina;Nigeria;17/04/2019
Kaga;Kaga;Borno Central;Borno;Nigeria;17/04/2019
Kagarko;Kagarko;Kaduna South;Kaduna;Nigeria;17/04/2019
Kaiama;Kaiama;Kwara North;Kwara;Nigeria;17/04/2019
Kaita;Kaita;Katsina Central;Katsina;Nigeria;17/04/2019
Kajola;Kajola;Oyo North;Oyo;Nigeria;17/04/2019
Kajuru;Kajuru;Kaduna Central;Kaduna;Nigeria;17/04/2019
Kala/Balge;Kala/Balge;Borno Central;Borno;Nigeria;17/04/2019
Kalgo;Kalgo;Kebbi Central;Kebbi;Nigeria;17/04/2019
Kaltungo;Kaltungo;Gombe South;Gombe;Nigeria;17/04/2019
Kanam;Kanam;Plateau Central;Plateau;Nigeria;17/04/2019
Kankara;Kankara;Katsina South;Katsina;Nigeria;17/04/2019
Kanke;Kanke;Plateau Central;Plateau;Nigeria;17/04/2019
Kankia;Kankia;Katsina North;Katsina;Nigeria;17/04/2019
Kano Municipal;Kano Municipal;Kano Central;Kano;Nigeria;17/04/2019
Karasuwa;Karasuwa;Yobe North;Yobe;Nigeria;17/04/2019
Karaye;Karaye;Kano North;Kano;Nigeria;17/04/2019
Karim-Lamido;Karim-Lamido;Taraba North;Taraba;Nigeria;17/04/2019
Karu;Karu;Nassarawa West;Nasarawa;Nigeria;17/04/2019
Katagum;Katagum;Bauchi North;Bauchi;Nigeria;17/04/2019
Katcha;Katcha;Niger South;Niger;Nigeria;17/04/2019
Katsina;Katsina;Katsina Central;Katsina;Nigeria;17/04/2019
Katsina-Ala;Katsina-Ala;Benue North East;Benue;Nigeria;17/04/2019
Kaugama;Kaugama;Jigawa North-East;Jigawa;Nigeria;17/04/2019
Kaura;Kaura;Kaduna South;Kaduna;Nigeria;17/04/2019
Kaura Namoda;Kaura Namoda;Zamfara North;Zamfara;Nigeria;17/04/2019
Kauru;Kauru;Kaduna South;Kaduna;Nigeria;17/04/2019
Kazaure;Kazaure;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Keana;Keana;Nassarawa South;Nasarawa;Nigeria;17/04/2019
Kebbe;Kebbe;Sokoto South;Sokoto;Nigeria;17/04/2019
Keffi;Keffi;Nassarawa West;Nasarawa;Nigeria;17/04/2019
Khana;Khana;Rivers South East;Rivers;Nigeria;17/04/2019
Kibiya;Kibiya;Kano South;Kano;Nigeria;17/04/2019
Kirfi;Kirfi;Bauchi South;Bauchi;Nigeria;17/04/2019
Kiri Kasamma;Kiri Kasamma;Jigawa North-East;Jigawa;Nigeria;17/04/2019
Kiru;Kiru;Kano South;Kano;Nigeria;17/04/2019
Kiyawa;Kiyawa;Jigawa South-West;Jigawa;Nigeria;17/04/2019
Kogi;Kogi;Kogi West;Kogi;Nigeria;17/04/2019
Koko/Besse;Koko/Besse;Kebbi Central;Kebbi;Nigeria;17/04/2019
Kokona;Kokona;Nassarawa West;Nasarawa;Nigeria;17/04/2019
Kolokuma/Opokuma;Kolokuma/Opokuma;Bayelsa Central;Bayelsa;Nigeria;17/04/2019
Konduga;Konduga;Borno Central;Borno;Nigeria;17/04/2019
Konshisha;Konshisha;Benue North East;Benue;Nigeria;17/04/2019
Kontagora;Kontagora;Niger North;Niger;Nigeria;17/04/2019
Kosofe;Kosofe;Lagos East;Lagos;Nigeria;17/04/2019
Kubau;Kubau;Kaduna North;Kaduna;Nigeria;17/04/2019
Kudan;Kudan;Kaduna North;Kaduna;Nigeria;17/04/2019
Kuje;Kuje;Federal Capital Territory;Federal Capital Territory;Nigeria;17/04/2019
Kukawa;Kukawa;Borno North;Borno;Nigeria;17/04/2019
Kumbotso;Kumbotso;Kano Central;Kano;Nigeria;17/04/2019
Kunchi;Kunchi;Kano North;Kano;Nigeria;17/04/2019
Kura;Kura;Kano Central;Kano;Nigeria;17/04/2019
Kurfi;Kurfi;Katsina Central;Katsina;Nigeria;17/04/2019
Kurmi;Kurmi;Taraba Central;Taraba;Nigeria;17/04/2019
Kusada;Kusada;Katsina North;Katsina;Nigeria;17/04/2019
Kwali;Kwali;Federal Capital Territory;Federal Capital Territory;Nigeria;17/04/2019
Kwami;Kwami;Gombe North;Gombe;Nigeria;17/04/2019
Kwande;Kwande;Benue North East;Benue;Nigeria;17/04/2019
Kware;Kware;Sokoto North;Sokoto;Nigeria;17/04/2019
Kwaya Kusar;Kwaya Kusar;Borno South;Borno;Nigeria;17/04/2019
Lafia;Lafia;Nassarawa South;Nasarawa;Nigeria;17/04/2019
Lagelu;Lagelu;Oyo Central;Oyo;Nigeria;17/04/2019
Lagos Island;Lagos Island;Lagos Central;Lagos;Nigeria;17/04/2019
Lagos Mainland;Lagos Mainland;Lagos Central;Lagos;Nigeria;17/04/2019
Lamurde;Lamurde;Adamawa South;Adamawa;Nigeria;17/04/2019
Langtang North;Langtang North;Plateau South;Plateau;Nigeria;17/04/2019
Langtang South;Langtang South;Plateau South;Plateau;Nigeria;17/04/2019
Lapai;Lapai;Niger South;Niger;Nigeria;17/04/2019
Lau;Lau;Taraba North;Taraba;Nigeria;17/04/2019
Lavun;Lavun;Niger South;Niger;Nigeria;17/04/2019
Lere;Lere;Kaduna North;Kaduna;Nigeria;17/04/2019
Logo;Logo;Benue North East;Benue;Nigeria;17/04/2019
Lokoja;Lokoja;Kogi West;Kogi;Nigeria;17/04/2019
Machina;Machina;Yobe North;Yobe;Nigeria;17/04/2019
Madagali;Madagali;Adamawa North;Adamawa;Nigeria;17/04/2019
Madobi;Madobi;Kano Central;Kano;Nigeria;17/04/2019
Mafa;Mafa;Borno Central;Borno;Nigeria;17/04/2019
Magama;Magama;Niger North;Niger;Nigeria;17/04/2019
Magumeri;Magumeri;Borno North;Borno;Nigeria;17/04/2019
Mai'adua;Maiadua;Katsina North;Katsina;Nigeria;17/04/2019
Maiduguri;Maiduguri;Borno Central;Borno;Nigeria;17/04/2019
Maigatari;Maigatari;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Maiha;Maiha;Adamawa North;Adamawa;Nigeria;17/04/2019
Maiyama;Maiyama;Kebbi Central;Kebbi;Nigeria;17/04/2019
Makoda;Makoda;Kano North;Kano;Nigeria;17/04/2019
Makurdi;Makurdi;Benue North West;Benue;Nigeria;17/04/2019
Malam Madori;Malam Madori;Jigawa North-East;Jigawa;Nigeria;17/04/2019
Malumfashi;Malumfashi;Katsina South;Katsina;Nigeria;17/04/2019
Mangu;Mangu;Plateau Central;Plateau;Nigeria;17/04/2019
Mani;Mani;Katsina North;Katsina;Nigeria;17/04/2019
Maradun;Maradun;Zamfara West;Zamfara;Nigeria;17/04/2019
Mariga;Mariga;Niger North;Niger;Nigeria;17/04/2019
Markafi;Markafi;Kaduna North;Kaduna;Nigeria;17/04/2019
Marte;Marte;Borno North;Borno;Nigeria;17/04/2019
Maru;Maru;Zamfara Central;Zamfara;Nigeria;17/04/2019
Mashegu;Mashegu;Niger North;Niger;Nigeria;17/04/2019
Mashi;Mashi;Katsina North;Katsina;Nigeria;17/04/2019
Matazu;Matazu;Katsina South;Katsina;Nigeria;17/04/2019
Mayo-Belwa;Mayo-Belwa;Adamawa South;Adamawa;Nigeria;17/04/2019
Mbaitoli;Mbaitoli;Imo East;Imo;Nigeria;17/04/2019
Mbo;Mbo;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Michika;Michika;Adamawa North;Adamawa;Nigeria;17/04/2019
Miga;Miga;Jigawa South-West;Jigawa;Nigeria;17/04/2019
Mikang;Mikang;Plateau South;Plateau;Nigeria;17/04/2019
Minjibir;Minjibir;Kano Central;Kano;Nigeria;17/04/2019
Misau;Misau;Bauchi Central;Bauchi;Nigeria;17/04/2019
Mkpat Enin;Mkpat Enin;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Moba;Moba;Ekiti North;Ekiti;Nigeria;17/04/2019
Mobbar;Mobbar;Borno North;Borno;Nigeria;17/04/2019
Mokwa;Mokwa;Niger South;Niger;Nigeria;17/04/2019
Monguno;Monguno;Borno North;Borno;Nigeria;17/04/2019
Mopa-Muro;Mopa-Muro;Kogi West;Kogi;Nigeria;17/04/2019
Moro;Moro;Kwara North;Kwara;Nigeria;17/04/2019
Mubi North;Mubi North;Adamawa North;Adamawa;Nigeria;17/04/2019
Mubi South;Mubi South;Adamawa North;Adamawa;Nigeria;17/04/2019
Musawa;Musawa;Katsina South;Katsina;Nigeria;17/04/2019
Mushin;Mushin;Lagos West;Lagos;Nigeria;17/04/2019
Muya;Muya;Niger East;Niger;Nigeria;17/04/2019
Nafada;Nafada;Gombe North;Gombe;Nigeria;17/04/2019
Nangere;Nangere;Yobe South;Yobe;Nigeria;17/04/2019
Nasarawa;Nasarawa;Kano Central;Kano;Nigeria;17/04/2019
Nasarawa;Nasarawa;Nassarawa West;Nasarawa;Nigeria;17/04/2019
Nasarawa-Eggon;Nasarawa-Eggon;Nassarawa North;Nasarawa;Nigeria;17/04/2019
Ndokwa East;Ndokwa East;Delta North;Delta;Nigeria;17/04/2019
Ndokwa West;Ndokwa West;Delta North;Delta;Nigeria;17/04/2019
Nembe;Nembe;Bayelsa East;Bayelsa;Nigeria;17/04/2019
Ngala;Ngala;Borno Central;Borno;Nigeria;17/04/2019
Nganzai;Nganzai;Borno North;Borno;Nigeria;17/04/2019
Ngaski;Ngaski;Kebbi South;Kebbi;Nigeria;17/04/2019
Ngor-Okpala;Ngor-Okpala;Imo East;Imo;Nigeria;17/04/2019
Nguru;Nguru;Yobe North;Yobe;Nigeria;17/04/2019
Ningi;Ningi;Bauchi Central;Bauchi;Nigeria;17/04/2019
Njaba;Njaba;Imo West;Imo;Nigeria;17/04/2019
Njikoka;Njikoka;Anambra Central;Anambra;Nigeria;17/04/2019
Nkanu East;Nkanu East;Enugu East;Enugu;Nigeria;17/04/2019
Nkanu West;Nkanu West;Enugu East;Enugu;Nigeria;17/04/2019
Nkwerre;Nkwerre;Imo West;Imo;Nigeria;17/04/2019
Nnewi North;Nnewi North;Anambra South;Anambra;Nigeria;17/04/2019
Nnewi South;Nnewi South;Anambra South;Anambra;Nigeria;17/04/2019
Nsit Atai;Nsit Atai;Akwa Ibom North East;Akwa Ibom;Nigeria;17/04/2019
Nsit Ibom;Nsit Ibom;Akwa Ibom North East;Akwa Ibom;Nigeria;17/04/2019
Nsit Ubium;Nsit Ubium;Akwa Ibom North East;Akwa Ibom;Nigeria;17/04/2019
Nsukka;Nsukka;Enugu North;Enugu;Nigeria;17/04/2019
Numan;Numan;Adamawa South;Adamawa;Nigeria;17/04/2019
Nwangele;Nwangele;Imo West;Imo;Nigeria;17/04/2019
Obafemi-Owode;Obafemi-Owode;Ogun Central;Ogun;Nigeria;17/04/2019
Obanliku;Obanliku;Cross River North;Cross River;Nigeria;17/04/2019
Obi;Obi;Benue South;Benue;Nigeria;17/04/2019
Obi;Obi;Nassarawa South;Nasarawa;Nigeria;17/04/2019
Obi Ngwa;Obi Ngwa;Abia South;Abia;Nigeria;17/04/2019
Obia/Akpor;Obia/Akpor;Rivers East;Rivers;Nigeria;17/04/2019
Obokun;Obokun;Osun East;Osun;Nigeria;17/04/2019
Obot Akara;Obot Akara;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Obowo;Obowo;Imo North;Imo;Nigeria;17/04/2019
Obubra;Obubra;Cross River Central;Cross River;Nigeria;17/04/2019
Obudu;Obudu;Cross River North;Cross River;Nigeria;17/04/2019
Odeda;Odeda;Ogun Central;Ogun;Nigeria;17/04/2019
Odigbo;Odigbo;Ondo South;Ondo;Nigeria;17/04/2019
Odo-Otin;Odo-Otin;Osun Central;Osun;Nigeria;17/04/2019
Odogbolu;Odogbolu;Ogun East;Ogun;Nigeria;17/04/2019
Odukpani;Odukpani;Cross River South;Cross River;Nigeria;17/04/2019
Offa;Offa;Kwara Central;Kwara;Nigeria;17/04/2019
Ofu;Ofu;Kogi East;Kogi;Nigeria;17/04/2019
Ogba/Egbema/Ndoni;Ogba/Egbema/Ndoni;Rivers West;Rivers;Nigeria;17/04/2019
Ogbadibo;Ogbadibo;Benue South;Benue;Nigeria;17/04/2019
Ogbaru;Ogbaru;Anambra North;Anambra;Nigeria;17/04/2019
Ogbia;Ogbia;Bayelsa East;Bayelsa;Nigeria;17/04/2019
Ogbomosho North;Ogbomosho North;Oyo North;Oyo;Nigeria;17/04/2019
Ogbomosho South;Ogbomosho South;Oyo North;Oyo;Nigeria;17/04/2019
Ogo Oluwa;Ogo Oluwa;Oyo Central;Oyo;Nigeria;17/04/2019
Ogoja;Ogoja;Cross River North;Cross River;Nigeria;17/04/2019
Ogori/Magongo;Ogori/Magongo;Kogi Central;Kogi;Nigeria;17/04/2019
Ogu/Bolo;Ogu/Bolo;Rivers East;Rivers;Nigeria;17/04/2019
Ogun waterside;Ogun waterside;Ogun East;Ogun;Nigeria;17/04/2019
Oguta;Oguta;Imo West;Imo;Nigeria;17/04/2019
Ohafia;Ohafia;Abia North;Abia;Nigeria;17/04/2019
Ohaji/Egbema;Ohaji/Egbema;Imo West;Imo;Nigeria;17/04/2019
Ohaozara;Ohaozara;Ebonyi South;Ebonyi;Nigeria;17/04/2019
Ohaukwu;Ohaukwu;Ebonyi North;Ebonyi;Nigeria;17/04/2019
Ohimini;Ohimini;Benue South;Benue;Nigeria;17/04/2019
Oji-River;Oji-River;Enugu West;Enugu;Nigeria;17/04/2019
Ojo;Ojo;Lagos West;Lagos;Nigeria;17/04/2019
Oju;Oju;Benue South;Benue;Nigeria;17/04/2019
Oke-Ero;Oke-Ero;Kwara South;Kwara;Nigeria;17/04/2019
Okehi;Okehi;Kogi Central;Kogi;Nigeria;17/04/2019
Okene;Okene;Kogi Central;Kogi;Nigeria;17/04/2019
Okigwe;Okigwe;Imo North;Imo;Nigeria;17/04/2019
Okitipupa;Okitipupa;Ondo South;Ondo;Nigeria;17/04/2019
Okobo;Okobo;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Okpe;Okpe;Delta Central;Delta;Nigeria;17/04/2019
Okpokwu;Okpokwu;Benue South;Benue;Nigeria;17/04/2019
Okrika;Okrika;Rivers East;Rivers;Nigeria;17/04/2019
Ola-oluwa;Ola-oluwa;Osun West;Osun;Nigeria;17/04/2019
Olamabolo;Olamabolo;Kogi East;Kogi;Nigeria;17/04/2019
Olorunda;Olorunda;Osun Central;Osun;Nigeria;17/04/2019
Olorunsogo;Olorunsogo;Oyo North;Oyo;Nigeria;17/04/2019
Oluyole;Oluyole;Oyo Central;Oyo;Nigeria;17/04/2019
Omala;Omala;Kogi East;Kogi;Nigeria;17/04/2019
Omumma;Omumma;Rivers East;Rivers;Nigeria;17/04/2019
Ona-Ara;Ona-Ara;Oyo Central;Oyo;Nigeria;17/04/2019
Ondo East;Ondo East;Ondo Central;Ondo;Nigeria;17/04/2019
Ondo West;Ondo West;Ondo Central;Ondo;Nigeria;17/04/2019
Onicha;Onicha;Ebonyi South;Ebonyi;Nigeria;17/04/2019
Onitsha North;Onitsha North;Anambra North;Anambra;Nigeria;17/04/2019
Onitsha South;Onitsha South;Anambra North;Anambra;Nigeria;17/04/2019
Onna;Onna;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Opobo/Nkoro;Opobo/Nkoro;Rivers South East;Rivers;Nigeria;17/04/2019
Oredo;Oredo;Edo South;Edo;Nigeria;17/04/2019
Orelope;Orelope;Oyo North;Oyo;Nigeria;17/04/2019
Orhionmwon;Orhionmwon;Edo South;Edo;Nigeria;17/04/2019
Ori Ire;Ori Ire;Oyo North;Oyo;Nigeria;17/04/2019
Oriade;Oriade;Osun East;Osun;Nigeria;17/04/2019
Orlu;Orlu;Imo West;Imo;Nigeria;17/04/2019
Orolu;Orolu;Osun Central;Osun;Nigeria;17/04/2019
Oron;Oron;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Orsu;Orsu;Imo West;Imo;Nigeria;17/04/2019
Oru East;Oru East;Imo West;Imo;Nigeria;17/04/2019
Oru West;Oru West;Imo West;Imo;Nigeria;17/04/2019
Oruk Anam;Oruk Anam;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Orumba North;Orumba North;Anambra South;Anambra;Nigeria;17/04/2019
Orumba South;Orumba South;Anambra South;Anambra;Nigeria;17/04/2019
Ose;Ose;Ondo North;Ondo;Nigeria;17/04/2019
Oshimili North;Oshimili North;Delta North;Delta;Nigeria;17/04/2019
Oshimili South;Oshimili South;Delta North;Delta;Nigeria;17/04/2019
Oshodi-Isolo;Oshodi-Isolo;Lagos West;Lagos;Nigeria;17/04/2019
Osisioma Ngwa;Osisioma Ngwa;Abia South;Abia;Nigeria;17/04/2019
Osogbo;Osogbo;Osun Central;Osun;Nigeria;17/04/2019
Oturkpo;Oturkpo;Benue South;Benue;Nigeria;17/04/2019
Ovia North East;Ovia North East;Edo South;Edo;Nigeria;17/04/2019
Ovia South West;Ovia South West;Edo South;Edo;Nigeria;17/04/2019
Owan East;Owan East;Edo North;Edo;Nigeria;17/04/2019
Owan West;Owan West;Edo North;Edo;Nigeria;17/04/2019
Owerri-Municipal;Owerri-Municipal;Imo East;Imo;Nigeria;17/04/2019
Owerri North;Owerri North;Imo East;Imo;Nigeria;17/04/2019
Owerri West;Owerri West;Imo East;Imo;Nigeria;17/04/2019
Owo;Owo;Ondo North;Ondo;Nigeria;17/04/2019
Oye;Oye;Ekiti North;Ekiti;Nigeria;17/04/2019
Oyi;Oyi;Anambra North;Anambra;Nigeria;17/04/2019
Oyigbo;Oyigbo;Rivers South East;Rivers;Nigeria;17/04/2019
Oyo East;Oyo East;Oyo Central;Oyo;Nigeria;17/04/2019
Oyo West;Oyo West;Oyo Central;Oyo;Nigeria;17/04/2019
Oyun;Oyun;Kwara South;Kwara;Nigeria;17/04/2019
Paikoro;Paikoro;Niger East;Niger;Nigeria;17/04/2019
Pankshin;Pankshin;Plateau Central;Plateau;Nigeria;17/04/2019
Patani;Patani;Delta South;Delta;Nigeria;17/04/2019
Pategi;Pategi;Kwara North;Kwara;Nigeria;17/04/2019
Port-Harcourt;Port-Harcourt;Rivers East;Rivers;Nigeria;17/04/2019
Potiskum;Potiskum;Yobe South;Yobe;Nigeria;17/04/2019
Qua'an Pan;Quaan Pan;Plateau South;Plateau;Nigeria;17/04/2019
Rabah;Rabah;Sokoto East;Sokoto;Nigeria;17/04/2019
Rafi;Rafi;Niger East;Niger;Nigeria;17/04/2019
Rano;Rano;Kano South;Kano;Nigeria;17/04/2019
Remo North;Remo North;Ogun East;Ogun;Nigeria;17/04/2019
Rijau;Rijau;Niger North;Niger;Nigeria;17/04/2019
Rimi;Rimi;Katsina Central;Katsina;Nigeria;17/04/2019
Rimin Gado;Rimin Gado;Kano North;Kano;Nigeria;17/04/2019
Ringim;Ringim;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Riyom;Riyom;Plateau North;Plateau;Nigeria;17/04/2019
Rogo;Rogo;Kano South;Kano;Nigeria;17/04/2019
Roni;Roni;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Sabon-Gari;Sabon-Gari;Kaduna North;Kaduna;Nigeria;17/04/2019
Sabon Birni;Sabon Birni;Sokoto East;Sokoto;Nigeria;17/04/2019
Sabuwa;Sabuwa;Katsina South;Katsina;Nigeria;17/04/2019
Safana;Safana;Katsina Central;Katsina;Nigeria;17/04/2019
Sagbama;Sagbama;Bayelsa West;Bayelsa;Nigeria;17/04/2019
Sakaba;Sakaba;Kebbi South;Kebbi;Nigeria;17/04/2019
Saki East;Saki East;Oyo North;Oyo;Nigeria;17/04/2019
Saki West;Saki West;Oyo North;Oyo;Nigeria;17/04/2019
Sandamu;Sandamu;Katsina North;Katsina;Nigeria;17/04/2019
Sanga;Sanga;Kaduna South;Kaduna;Nigeria;17/04/2019
Sapele;Sapele;Delta Central;Delta;Nigeria;17/04/2019
Sardauna;Sardauna;Taraba Central;Taraba;Nigeria;17/04/2019
Shagamu;Shagamu;Ogun East;Ogun;Nigeria;17/04/2019
Shagari;Shagari;Sokoto South;Sokoto;Nigeria;17/04/2019
Shanga;Shanga;Kebbi South;Kebbi;Nigeria;17/04/2019
Shani;Shani;Borno South;Borno;Nigeria;17/04/2019
Shanono;Shanono;Kano North;Kano;Nigeria;17/04/2019
Shelleng;Shelleng;Adamawa South;Adamawa;Nigeria;17/04/2019
Shendam;Shendam;Plateau South;Plateau;Nigeria;17/04/2019
Shinkafi;Shinkafi;Zamfara North;Zamfara;Nigeria;17/04/2019
Shira;Shira;Bauchi North;Bauchi;Nigeria;17/04/2019
Shiroro;Shiroro;Niger East;Niger;Nigeria;17/04/2019
Shomgom;Shomgom;Gombe South;Gombe;Nigeria;17/04/2019
Shomolu;Shomolu;Lagos East;Lagos;Nigeria;17/04/2019
Silame;Silame;Sokoto North;Sokoto;Nigeria;17/04/2019
Soba;Soba;Kaduna North;Kaduna;Nigeria;17/04/2019
Sokoto North;Sokoto North;Sokoto North;Sokoto;Nigeria;17/04/2019
Sokoto South;Sokoto South;Sokoto North;Sokoto;Nigeria;17/04/2019
Song;Song;Adamawa Central;Adamawa;Nigeria;17/04/2019
Southern Ijaw;Southern Ijaw;Bayelsa Central;Bayelsa;Nigeria;17/04/2019
Sule-Tankarkar;Sule-Tankarkar;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Suleja;Suleja;Niger East;Niger;Nigeria;17/04/2019
Sumaila;Sumaila;Kano South;Kano;Nigeria;17/04/2019
Suru;Suru;Kebbi North;Kebbi;Nigeria;17/04/2019
Surulere;Surulere;Lagos Central;Lagos;Nigeria;17/04/2019
Surulere;Surulere;Oyo Central;Oyo;Nigeria;17/04/2019
Tafa;Tafa;Niger East;Niger;Nigeria;17/04/2019
Tafawa-Balewa;Tafawa-Balewa;Bauchi South;Bauchi;Nigeria;17/04/2019
Tai;Tai;Rivers South East;Rivers;Nigeria;17/04/2019
Takai;Takai;Kano South;Kano;Nigeria;17/04/2019
Takum;Takum;Taraba South;Taraba;Nigeria;17/04/2019
Talata Mafara;Talata Mafara;Zamfara North;Zamfara;Nigeria;17/04/2019
Tambuwal;Tambuwal;Sokoto South;Sokoto;Nigeria;17/04/2019
Tangaza;Tangaza;Sokoto North;Sokoto;Nigeria;17/04/2019
Tarauni;Tarauni;Kano Central;Kano;Nigeria;17/04/2019
Tarka;Tarka;Benue North West;Benue;Nigeria;17/04/2019
Tarmua;Tarmua;Yobe East;Yobe;Nigeria;17/04/2019
Taura;Taura;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Tofa;Tofa;Kano North;Kano;Nigeria;17/04/2019
Toro;Toro;Bauchi South;Bauchi;Nigeria;17/04/2019
Toto;Toto;Nassarawa West;Nasarawa;Nigeria;17/04/2019
Toungo;Toungo;Adamawa South;Adamawa;Nigeria;17/04/2019
Tsafe;Tsafe;Zamfara Central;Zamfara;Nigeria;17/04/2019
Tsanyawa;Tsanyawa;Kano North;Kano;Nigeria;17/04/2019
Tudun Wada;Tudun Wada;Kano South;Kano;Nigeria;17/04/2019
Tureta;Tureta;Sokoto South;Sokoto;Nigeria;17/04/2019
Udenu;Udenu;Enugu North;Enugu;Nigeria;17/04/2019
Udi;Udi;Enugu West;Enugu;Nigeria;17/04/2019
Udu;Udu;Delta Central;Delta;Nigeria;17/04/2019
Udung Uko;Udung Uko;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Ughelli North;Ughelli North;Delta Central;Delta;Nigeria;17/04/2019
Ughelli South;Ughelli South;Delta Central;Delta;Nigeria;17/04/2019
Ugwunagbo;Ugwunagbo;Abia South;Abia;Nigeria;17/04/2019
Uhunmwonde;Uhunmwonde;Edo South;Edo;Nigeria;17/04/2019
Ukanafun;Ukanafun;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Ukum;Ukum;Benue North East;Benue;Nigeria;17/04/2019
Ukwa East;Ukwa East;Abia South;Abia;Nigeria;17/04/2019
Ukwa West;Ukwa West;Abia South;Abia;Nigeria;17/04/2019
Ukwuani;Ukwuani;Delta North;Delta;Nigeria;17/04/2019
Umu-Nneochi;Umu-Nneochi;Abia North;Abia;Nigeria;17/04/2019
Umuahia North;Umuahia North;Abia Central;Abia;Nigeria;17/04/2019
Umuahia South;Umuahia South;Abia Central;Abia;Nigeria;17/04/2019
Ungogo;Ungogo;Kano Central;Kano;Nigeria;17/04/2019
Unuimo;Unuimo;Imo North;Imo;Nigeria;17/04/2019
Uruan;Uruan;Akwa Ibom North East;Akwa Ibom;Nigeria;17/04/2019
Urue-Offong/Oruko;Urue-Offong/Oruko;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Ushongo;Ushongo;Benue North East;Benue;Nigeria;17/04/2019
Ussa;Ussa;Taraba South;Taraba;Nigeria;17/04/2019
Uvwie;Uvwie;Delta Central;Delta;Nigeria;17/04/2019
Uyo;Uyo;Akwa Ibom North East;Akwa Ibom;Nigeria;17/04/2019
Uzo-Uwani;Uzo-Uwani;Enugu North;Enugu;Nigeria;17/04/2019
Vandeikya;Vandeikya;Benue North East;Benue;Nigeria;17/04/2019
Wamako;Wamako;Sokoto North;Sokoto;Nigeria;17/04/2019
Wamba;Wamba;Nassarawa North;Nasarawa;Nigeria;17/04/2019
Warawa;Warawa;Kano Central;Kano;Nigeria;17/04/2019
Warji;Warji;Bauchi Central;Bauchi;Nigeria;17/04/2019
Warri North;Warri North;Delta South;Delta;Nigeria;17/04/2019
Warri South;Warri South;Delta South;Delta;Nigeria;17/04/2019
Warri South West;Warri South West;Delta South;Delta;Nigeria;17/04/2019
